Data;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;empresa;LL;at;ief;roe;moper;;;;;;
31/12/2006;ITAUUNIBANCO;4308.93;209691.16;54.99;18.29;19.44;BRADESCO;5054.04;265547.27;34.42;20.51;16.49;BTGP BANCO;;;;;;SANTANDER BR;803.62;102027.10;54.98;10.08;13.47;BRASIL;6043.78;296356.42;61.98;29.12;15.91;BANCO BMG;;;;;;BANCO PAN;72.42;4721.14;;17.20;10.40;BANRISUL;361.66;15648.52;;27.93;17.04;;;;;;
30/09/2006;ITAUUNIBANCO;4454.09;206934.92;54.63;20.53;20.54;BRADESCO;4813.75;243191.64;33.79;22.11;16.02;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;5532.44;281615.00;66.18;27.39;15.15;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;386.25;15279.29;;29.76;16.55;;;;;;
30/06/2006;ITAUUNIBANCO;5735.09;172412.77;53.53;32.67;33.36;BRADESCO;6025.17;232935.11;33.26;28.08;23.10;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;6062.96;273835.58;61.27;31.61;18.40;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;366.40;14567.07;;29.73;16.46;;;;;;
31/03/2006;ITAUUNIBANCO;5570.02;163203.79;53.48;33.52;40.87;BRADESCO;5838.91;216391.35;32.88;28.66;25.04;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;5531.69;264634.93;56.09;28.80;19.71;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;344.50;13753.57;;28.76;17.29;;;;;;
31/12/2005;ITAUUNIBANCO;5251.33;151241.43;53.90;33.75;40.25;BRADESCO;5514.07;208682.93;33.38;28.41;23.08;BTGP BANCO;;;;;;SANTANDER BR;176.32;5250.83;44.80;10.19;14.76;BRASIL;4153.60;252976.99;57.14;24.65;21.30;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;351.95;14089.51;;30.79;18.10;;;;;;
30/09/2005;ITAUUNIBANCO;4856.85;144671.19;49.36;31.89;49.87;BRADESCO;5109.27;201913.22;34.05;27.98;26.88;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;4187.50;245510.76;53.02;24.89;22.16;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;367.45;13423.26;;32.07;19.77;;;;;;
30/06/2005;ITAUUNIBANCO;4425.22;144545.33;48.82;29.45;56.16;BRADESCO;4431.39;194542.09;34.65;25.40;26.09;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;3582.09;233792.95;54.52;23.27;20.65;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;365.09;12931.91;;32.89;20.54;;;;;;
31/03/2005;ITAUUNIBANCO;4040.76;146402.78;50.12;27.62;43.40;BRADESCO;3656.86;191298.91;35.66;22.11;18.40;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;3373.00;245685.36;61.03;22.59;16.15;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;355.27;12653.88;;33.43;19.91;;;;;;
31/12/2004;ITAUUNIBANCO;3775.62;130338.64;51.51;27.02;42.05;BRADESCO;3060.15;184926.47;35.92;20.11;15.09;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;3024.01;239014.14;61.16;21.44;14.82;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;303.22;12126.17;;29.55;18.87;;;;;;
30/09/2004;ITAUUNIBANCO;3599.25;138519.77;58.38;26.72;32.93;BRADESCO;2717.54;179703.50;35.92;18.51;8.44;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2890.60;235599.30;61.36;20.99;14.26;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;293.97;11987.41;59.43;33.46;16.99;;;;;;
30/06/2004;ITAUUNIBANCO;3486.28;122759.55;59.08;27.26;26.04;BRADESCO;2529.08;176253.81;36.63;18.53;4.85;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2722.84;227374.44;64.39;21.17;11.30;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;297.41;12323.14;60.16;35.60;16.38;;;;;;
31/03/2004;ITAUUNIBANCO;3313.81;126979.34;59.92;26.56;35.09;BRADESCO;2407.45;160971.03;36.41;17.67;6.67;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2517.57;231107.15;59.04;19.85;14.24;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;269.39;11985.67;57.87;31.69;15.50;;;;;;
31/12/2003;ITAUUNIBANCO;3151.82;118737.86;57.41;26.53;39.98;BRADESCO;2306.34;176097.69;36.09;17.02;7.99;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2380.98;230144.45;58.17;19.56;15.51;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;285.44;11721.02;;35.64;16.71;;;;;;
30/09/2003;ITAUUNIBANCO;2987.31;118981.95;46.57;26.06;52.35;BRADESCO;2289.24;130827.44;71.02;17.65;-12.68;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2343.53;215133.93;58.30;20.05;16.41;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;201.11;12371.04;54.64;25.42;13.56;;;;;;
30/06/2003;ITAUUNIBANCO;2819.35;106799.15;46.61;26.17;33.08;BRADESCO;2145.66;120578.28;68.65;17.13;-6.34;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2283.45;205762.13;57.26;21.00;9.65;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;195.01;12150.86;47.78;26.28;13.73;;;;;;
31/03/2003;ITAUUNIBANCO;2587.19;113097.65;46.47;25.91;19.95;BRADESCO;2104.98;117094.16;67.88;17.98;-5.13;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2157.65;209240.06;61.74;21.23;4.19;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;181.26;11645.06;50.29;25.80;13.21;;;;;;
31/12/2002;ITAUUNIBANCO;2376.72;111141.44;49.28;26.30;15.59;BRADESCO;2022.59;142773.33;34.26;18.65;4.07;BTGP BANCO;;;;;;SANTANDER BR;;;;;;BRASIL;2027.68;204594.61;63.39;22.05;2.41;BANCO BMG;;;;;;BANCO PAN;;;;;;BANRISUL;149.65;11210.30;;21.62;12.79;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
